circuit,sequence,sequence_full,tvd_loss,count,reports
seq_001.qpy,"sx(107) → rz(107, -3.1416)","sx(107) → rz(107, -3.1416)",0.037109375,6,"[0, 1, 2, 3, 4]"
seq_002.qpy,"sx(107) → rz(107, -2.7489)","sx(107) → rz(107, -2.7489)",0.014892578125,6,"[1, 2]"
seq_003.qpy,"rz(107, -2.7489) → sx(107)","rz(107, -2.7489) → sx(107)",0.0673828125,6,"[1, 2]"
seq_004.qpy,"sx(107) → rz(107, -2.7489) → sx(107)","sx(107) → rz(107, -2.7489) → sx(107)",0.025146484375,6,"[1, 2]"
seq_005.qpy,"rz(106, -1.9635) → sx(106)","rz(106, -1.9635) → sx(106)",0.00390625,4,"[0, 2, 3, 4]"
seq_006.qpy,"sx(106) → rz(106, -4.7124)","sx(106) → rz(106, -4.7124)",0.03125,4,"[0, 2, 3, 4]"
seq_007.qpy,"rz(106, -4.7124) → sx(107)","rz(106, -4.7124) → sx(107)",0.01953125,4,"[0, 2, 3, 4]"
seq_008.qpy,"rz(106, -1.9635) → ... → rz(106, -4.7124)","rz(106, -1.9635) → sx(106) → rz(106, -4.7124)",0.041748046875,4,"[0, 2, 3, 4]"
seq_009.qpy,"sx(106) → rz(106, -4.7124) → sx(107)","sx(106) → rz(106, -4.7124) → sx(107)",0.0224609375,4,"[0, 2, 3, 4]"
seq_010.qpy,"rz(106, -4.7124) → ... → rz(107, -3.1416)","rz(106, -4.7124) → sx(107) → rz(107, -3.1416)",0.007080078125,4,"[0, 2, 3, 4]"
